id,url,name,description,ranking,category
32,https://ready4cambridge.com/,Ready 4 Cambridge - News and Preparation for Cambridge Exams,,⭐⭐⭐⭐,CAE
33,https://studentlanguages.com/common-errors-at-c1-advanced/,Student Languages - Most Common Mistakes at C1 CAE,,⭐⭐⭐⭐,CAE
34,https://www.flo-joe.co.uk/cae/students/index.htm,Flo-Joe - CAE Preparation,🦝 Interactive exercises for the different parts of the CAE,⭐⭐⭐⭐,CAE
35,https://learnenglish.britishcouncil.org/skills/writing/c1-writing,British Council - Learn English - CAE C1 Writing,🐋 Interactive exercises and Guidance,⭐⭐⭐⭐,CAE
36,http://brainycae.blogspot.com/,Brainy CAE - Collocations Vocabulary Speaking and More,🦎 Lots of content related to CAE,⭐⭐⭐⭐,CAE
37,https://freeenglishlessonplans.com/2015/02/12/cae-use-of-english-useful-language/,Free English Lessons - CAE Use of English Useful language,,⭐⭐⭐⭐,CAE
38,https://freeenglishlessonplans.com/2013/02/08/cae-study-guide/,Free English Lessons - CAE Study Guide,,⭐⭐⭐⭐,CAE
39,https://blairexamenglish.com/cae-articles-and-things,Blair Exam English - CAE Articles and Things,,⭐⭐⭐,CAE
40,https://www.caeexamtips.com/,CAE Exam Tips,,⭐⭐⭐,CAE
41,http://benteachesenglish.com/simple-strategies-for-english-exams/cae-tips/, Ben Teaches English - Best CAE STRATEGIES,🐙 Nice tips for CAE,⭐⭐⭐,CAE
42,https://youtu.be/sSMAN0skLR4?list=PLg8AUSmE1ErKxlrH8DayVXYdF6aqAJMTW,C1 Advanced (CAE) - The Complete Guide to the Speaking Paper,📹 YouTube Video,⭐⭐⭐,CAE
43,https://youtube.com/playlist?list=PLg8AUSmE1ErKlyvaH2-3C1xEsYi38GS0c&si=YD2l2lZ5FnPFnjt5,Closely Observed English - Cambridge Advanced Preparation - YouTube Playlist,,⭐⭐⭐,CAE
44,https://youtube.com/playlist?list=PLg8AUSmE1ErIhvXzB5jBfZe9MLqAnxNrp&si=EadYEpgqVWFeiBMP,Closely Observed English - Advanced Vocabulary - YouTube Playlist,,⭐⭐⭐,CAE
45,https://www.englishaula.com/en/cambridge-english-test-exam-preparation/cambridge-english-advanced-cae-c1/reading-use-of-english/exam-parts/exercise-practice-test/1-1-7-6197158113968128/,English Aula - CAE,🦊 Interactive exercises (some free - some paid 🤑),⭐⭐⭐,CAE
46,https://studentlanguages.com/cae-courses/,Student Languages - CAE Preparation Online,🍟 Several videos related to CAE,⭐⭐⭐,CAE
47,https://www.lessonplansdigger.com/category/lesson-plans/cae/,Lesson Plans Digger - CAE Lessons,,⭐⭐,CAE
